top - 01:40:13 up  1:02,  1 user,  load average: 2.36, 1.45, 0.83
     62 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/25-+
     63 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-+
     64 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/27-+
     65 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/28-+
     66 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/29-+
     67 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/30-+
     68 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/31-+
     69 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/32-+
     70 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/33-+
     71 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/34-+
     72 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/35-+
     73 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/36-+
     74 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/37-+
     75 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/38-+
     76 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/39-+
     77 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/40-+
     78 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/41-+
     79 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/42-+
     80 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/43-+
     81 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/44-+
     82 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/45-+
     83 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/46-+
     84 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/47-+
     85 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/48-+
     86 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/49-+
     87 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/50-+
     88 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/51-+
     89 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/52-+
     90 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/53-+
     91 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/54-+
     92 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/55-+
     93 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     94 root      20   0       0      0      0 S   0.0   0.0   0:00.02 scsi_eh+
     95 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     96 root      20   0       0      0      0 S   0.0   0.0   0:00.02 scsi_eh+
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    101 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    102 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
    103 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    106 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    107 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    108 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    119 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    329 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    330 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    331 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    332 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    337 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    338 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    339 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    340 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    341 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    342 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    343 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    344 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    346 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    347 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    348 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    349 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    350 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    351 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    352 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    353 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    354 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    355 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    356 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    357 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    358 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    359 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    360 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    361 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    362 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    363 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    364 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    365 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    366 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    367 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    368 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    369 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    370 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    371 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    372 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    373 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    374 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    375 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    376 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    377 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    378 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    379 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    381 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    382 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    383 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    384 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    385 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    386 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    387 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    388 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    389 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    390 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    391 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    392 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    393 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    394 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    395 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    396 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    397 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    398 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    451 root      20   0       0      0      0 S   0.0   0.0   0:03.58 jbd2/sd+
    452 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    493 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/57-+
    494 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/58-+
    495 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/59-+
    508 root      19  -1   67760  13904  13256 S   0.0   0.4   0:01.06 systemd+
    551 systemd+  20   0   18260   7712   6836 S   0.0   0.2   0:00.65 systemd+
    552 systemd+  20   0   23484  12876  10916 S   0.0   0.4   0:01.18 systemd+
    558 root      20   0   40540  12132   7596 S   0.0   0.4   0:00.54 systemd+
    565 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    875 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/16-+
    877 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1017 avahi     20   0    6744   4424   4024 S   0.0   0.1   0:00.09 avahi-d+
   1020 root      20   0    3040   1836   1832 S   0.0   0.1   0:00.04 chronyd+
   1023 message+  20   0   11808   6700   4360 S   0.0   0.2   0:02.15 dbus-da+
   1047 root      20   0   44204  12304   7972 S   0.0   0.4   0:00.28 network+
   1049 polkitd   20   0  389084  11268   8032 S   0.0   0.3   0:00.56 polkitd
   1072 root      20   0 1924384  20040  10636 S   0.0   0.6   0:05.74 snapd
   1081 root      20   0  311656   7616   6780 S   0.0   0.2   0:00.25 account+
   1082 root      20   0    9856   3004   2916 S   0.0   0.1   0:00.03 cron
   1085 root      20   0  310652   7008   6428 S   0.0   0.2   0:00.11 switche+
   1094 root      20   0   19000   8436   7820 S   0.0   0.2   0:00.60 systemd+
   1101 root      20   0  544188  14016  10772 S   0.0   0.4   0:00.46 udisksd
   1130 syslog    20   0  220664   5480   3788 S   0.0   0.2   0:00.15 rsyslogd
   1175 avahi     20   0    6556   1688   1376 S   0.0   0.0   0:00.00 avahi-d+
   1205 root      20   0  338596  15772  14624 S   0.0   0.5   0:00.52 Network+
   1207 root      20   0   18072   5868   4908 S   0.0   0.2   0:00.07 wpa_sup+
   1215 _chrony   20   0   24368  10536   5744 S   0.0   0.3   0:00.22 chronyd
   1246 _chrony   20   0   11972   3176   2580 S   0.0   0.1   0:00.01 chronyd
   1285 root      20   0  390980  11240   9148 S   0.0   0.3   0:00.15 ModemMa+
   1579 root      20   0  123516  15720   9760 S   0.0   0.5   0:00.11 unatten+
   1581 root      20   0   10892   6544   6236 S   0.0   0.2   0:00.00 sshd
   1607 root      20   0  386904   8200   7936 S   0.0   0.2   0:00.06 gdm3
   1620 root      20   0  175276   9500   8832 S   0.0   0.3   0:00.04 gdm-ses+
   1645 root      20   0  311828   6780   6636 S   0.0   0.2   0:00.06 power-p+
   1672 demetri+  20   0   23728  13648   9868 S   0.0   0.4   0:03.44 systemd
   1682 demetri+  20   0   23408   2400   1908 S   0.0   0.1   0:00.00 (sd-pam)
   1719 demetri+  20   0   10100   5960   4360 S   0.0   0.2   0:01.00 dbus-da+
   1720 demetri+   9 -11  108148  13004   8220 S   0.0   0.4   0:36.67 pipewire
   1721 demetri+  20   0   87580   4644   4636 S   0.0   0.1   0:00.02 pipewire
   1726 demetri+  20   0  185740   9268   8428 S   0.0   0.3   0:00.08 gnome-k+
   1732 rtkit     21   1   21900   3372   3240 S   0.0   0.1   0:00.12 rtkit-d+
   1733 demetri+  20   0    7664   3700   3468 S   0.0   0.1   0:00.02 mpris-p+
   1738 demetri+   9 -11  482316  15628  12644 S   0.0   0.5   0:01.38 wireplu+
   1745 demetri+   9 -11  193096  22840  10244 S   0.0   0.7   0:00.57 pipewir+
   1782 demetri+  20   0  170848   6132   5880 S   0.0   0.2   0:00.00 gdm-way+
   1792 demetri+  20   0  165192   5944   5568 S   0.0   0.2   0:00.03 gnome-s+
   1843 demetri+  20   0  690848   7124   6432 S   0.0   0.2   0:00.09 xdg-doc+
   1856 demetri+  20   0  310496   7552   6800 S   0.0   0.2   0:00.04 gcr-ssh+
   1857 demetri+  20   0   89900   5448   5088 S   0.0   0.2   0:00.02 gnome-s+
   1859 demetri+  20   0   10632   6312   5340 S   0.0   0.2   0:00.01 ssh-age+
   1863 demetri+  20   0  310020   6416   5968 S   0.0   0.2   0:00.03 xdg-per+
   1872 demetri+  20   0  315528   7772   7304 S   0.0   0.2   0:00.05 gvfsd
   1879 root      20   0    2936   2100   2096 S   0.0   0.1   0:00.00 fusermo+
   1892 demetri+  20   0  401036   7084   6708 S   0.0   0.2   0:00.00 gvfsd-f+
   1895 demetri+  20   0  675808   8864   8072 S   0.0   0.3   0:00.13 gnome-s+
   1913 demetri+  20   0 4058916 274308 142560 S   0.0   8.0   5:18.99 gnome-s+
   2025 demetri+  20   0  381260   7200   6948 S   0.0   0.2   0:00.02 at-spi-+
   2032 demetri+  20   0    8696   4600   4360 S   0.0   0.1   0:00.03 dbus-da+
   2038 demetri+  20   0  168820   6652   6376 S   0.0   0.2   0:00.01 at-spi2+
   2039 colord    20   0  318636  13344   8768 S   0.0   0.4   0:00.17 colord
   2074 demetri+  20   0  658924  14356  14356 S   0.0   0.4   0:00.41 gnome-s+
   2084 root      20   0  321060   9728   8324 S   0.0   0.3   0:00.14 upowerd
   2091 demetri+  20   0 2672980  24856  24856 S   0.0   0.7   0:00.14 gjs
   2095 demetri+  20   0  388324   8536   7368 S   0.0   0.2   0:01.98 ibus-da+
   2097 demetri+  20   0  250944   8176   7524 S   0.0   0.2   0:00.03 gsd-a11+
   2105 demetri+  20   0  249040   7876   7216 S   0.0   0.2   0:00.06 gsd-col+
   2109 demetri+  20   0       0      0      0 Z   0.0   0.0   0:00.00 sh
   2112 demetri+  20   0  257320   9388   8548 S   0.0   0.3   0:00.04 gsd-dat+
   2114 demetri+  20   0       0      0      0 Z   0.0   0.0   0:00.19 snap
   2117 demetri+  20   0  306248   6696   6232 S   0.0   0.2   0:00.03 gsd-dis+
   2120 demetri+  20   0  835016  40108  36312 S   0.0   1.2   0:00.73 evoluti+
   2124 demetri+  20   0       0      0      0 Z   0.0   0.0   0:00.26 ubuntu-+
   2126 demetri+  20   0       0      0      0 Z   0.0   0.0   0:00.10 ubuntu-+
   2130 demetri+  20   0  387592   8708   7624 S   0.0   0.3   0:00.14 gsd-hou+
   2134 demetri+  20   0  569232  25052  21796 S   0.0   0.7   0:00.53 update-+
   2135 demetri+  20   0  385768   7248   6664 S   0.0   0.2   0:00.03 gsd-key+
   2139 demetri+  20   0  491336  12012  10572 S   0.0   0.3   0:00.12 gsd-med+
   2158 demetri+  20   0  398800   9052   8208 S   0.0   0.3   0:00.06 gsd-pow+
   2160 demetri+  20   0  324144  10672  10124 S   0.0   0.3   0:00.09 gsd-pri+
   2163 demetri+  20   0  459680   6964   6632 S   0.0   0.2   0:00.05 gsd-rfk+
   2165 demetri+  20   0  172528   6724   6244 S   0.0   0.2   0:00.03 gsd-scr+
   2166 demetri+  20   0  469872  10600   9460 S   0.0   0.3   0:00.06 gsd-sha+
   2167 demetri+  20   0  388104   8180   7328 S   0.0   0.2   0:00.04 gsd-sma+
   2179 demetri+  20   0  257392   9704   8648 S   0.0   0.3   0:00.03 gsd-sou+
   2180 demetri+  20   0  395140   7352   6896 S   0.0   0.2   0:00.04 gsd-usb+
   2181 demetri+  20   0  392912   8880   8456 S   0.0   0.3   0:00.04 gsd-wwan
   2192 demetri+  20   0   47748    244      4 S   0.0   0.0   0:00.37 snapd-d+
   2198 demetri+  20   0 1217268  32200  25076 S   0.0   0.9   0:00.44 evoluti+
   2273 demetri+  20   0 2671952  25024  25020 S   0.0   0.7   0:00.14 gjs
   2275 demetri+  20   0  171868   6924   6924 S   0.0   0.2   0:00.01 ibus-me+
   2280 demetri+  20   0  498896  23236  18404 S   0.0   0.7   0:02.85 ibus-ex+
   2291 demetri+  20   0  311192   7208   6964 S   0.0   0.2   0:00.03 ibus-po+
   2310 demetri+  20   0  463396  10740   9452 S   0.0   0.3   0:00.15 gvfs-ud+
   2335 demetri+  20   0    3948   2024   2024 S   0.0   0.1   0:00.00 bwrap
   2343 demetri+  20   0  395884   9624   8692 S   0.0   0.3   0:00.02 gsd-pri+
   2351 demetri+  20   0    3948   1212   1212 S   0.0   0.0   0:00.00 bwrap
   2352 demetri+  39  19  737228  23576  16736 S   0.0   0.7   0:01.32 localse+
   2376 demetri+  20   0  212076   2136   2132 S   0.0   0.1   0:00.38 glycin-+
   2418 demetri+  20   0  541084  20756  20744 S   0.0   0.6   0:00.17 goa-dae+
   2419 demetri+  20   0  311552   6980   6352 S   0.0   0.2   0:00.05 gvfs-gp+
   2443 demetri+  20   0  392540   8064   7640 S   0.0   0.2   0:00.48 gvfs-af+
   2447 demetri+  20   0  894104  16012  15992 S   0.0   0.5   0:00.20 evoluti+
   2466 demetri+  20   0  310484   6740   6256 S   0.0   0.2   0:00.04 gvfs-go+
   2478 demetri+  20   0  464160   8336   8240 S   0.0   0.2   0:00.03 goa-ide+
   2480 demetri+  20   0  518788   2592    416 S   0.0   0.1   0:00.55 snapd-d+
   2481 demetri+  20   0  310592   6796   6400 S   0.0   0.2   0:00.05 gvfs-mt+
   2531 demetri+  20   0  761228  20732  20176 S   0.0   0.6   0:00.17 evoluti+
   2541 demetri+  20   0  171860   7516   7080 S   0.0   0.2   0:00.64 ibus-en+
   2592 demetri+  20   0  165280   5604   5492 S   0.0   0.2   0:00.03 dconf-s+
   2598 demetri+  20   0  171604   6732   6376 S   0.0   0.2   0:00.38 gvfsd-m+
   2599 demetri+  20   0  536856   9228   7952 S   0.0   0.3   0:00.04 gvfsd-t+
   2634 demetri+  20   0 3079272  60544  48320 S   0.0   1.8   0:02.11 gjs
   2660 demetri+  20   0  778992  16784  14828 S   0.0   0.5   0:00.34 xdg-des+
   2665 demetri+  20   0  696728  32980  28156 S   0.0   1.0   0:00.33 xdg-des+
   2698 demetri+  20   0  491892  20204  17460 S   0.0   0.6   0:00.19 xdg-des+
   2726 demetri+  20   0   11.8g 604812 179724 S   0.0  17.6   5:00.76 firefox
   2789 demetri+  20   0  149172   1572   1460 S   0.0   0.0   0:00.00 crashhe+
   2881 demetri+  20   0  371788  36964  36352 S   0.0   1.1   0:00.20 Socket +
   2911 demetri+  20   0  444952  24488  20068 S   0.0   0.7   0:00.17 forkser+
   2922 demetri+  20   0 2615848  89528  70892 S   0.0   2.6   0:01.50 WebExte+
   2929 demetri+  20   0  617976  60456  54032 S   0.0   1.8   0:00.55 RDD Pro+
   2957 demetri+  20   0 2687148 156660  90756 S   0.0   4.6   0:30.77 Privile+
   2988 demetri+  20   0 1766492   7376    900 S   0.0   0.2   0:01.08 snap
   3125 demetri+  20   0 2617784 101320  81432 S   0.0   2.9   0:03.09 Isolate+
   3468 demetri+  20   0  593420  45308  37868 S   0.0   1.3   0:00.22 Utility+
   3658 demetri+  20   0 1679424 193652 112200 S   0.0   5.6   0:28.76 ptyxis
   3675 demetri+  20   0  239996   7308   6696 S   0.0   0.2   0:00.55 ptyxis-+
   3697 demetri+  20   0  215216  52240  51320 S   0.0   1.5   0:00.14 Xwayland
   3702 demetri+  20   0  254084  10460   9292 S   0.0   0.3   0:00.04 gsd-xse+
   3709 demetri+  20   0  800392  78296  74520 S   0.0   2.3   0:00.28 mutter-+
   3738 demetri+  20   0  374540  66824  56680 S   0.0   1.9   0:00.05 ibus-x11
   3748 demetri+  20   0   12268   4316   3692 S   0.0   0.1   0:00.23 bash
   4110 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   4276 demetri+  20   0 1276716  11048   8336 S   0.0   0.3   0:00.07 ubuntu-+
   4320 root      20   0       0      0      0 I   0.0   0.0   0:02.91 kworker+
   4352 root      20   0       0      0      0 I   0.0   0.0   0:03.96 kworker+
   4432 root      20   0       0      0      0 I   0.0   0.0   0:01.59 kworker+
   4491 root       0 -20       0      0      0 I   0.0   0.0   0:00.84 kworker+
   4593 demetri+  20   0  122776   8816   4712 S   0.0   0.3   0:00.88 speech-+
   4609 demetri+  20   0       0      0      0 Z   0.0   0.0   0:00.08 sd_espe+
   4615 demetri+  20   0   28396   7740   5284 S   0.0   0.2   0:00.04 sd_espe+
   4624 root      20   0  497672  39604  32728 S   0.0   1.2   0:02.07 fwupd
   4650 demetri+  20   0  165328   5440   5176 S   0.0   0.2   0:00.42 sd_dummy
   4658 demetri+  20   0   28496   7968   5284 S   0.0   0.2   0:00.02 sd_espe+
   4787 demetri+  20   0 2860264 209712  96528 S   0.0   6.1   0:32.86 Isolate+
   4882 demetri+  20   0 2575240  78128  70208 S   0.0   2.3   0:00.54 Isolate+
   4973 demetri+  20   0 3041748 381460 103532 S   0.0  11.1   0:44.32 Isolate+
   5188 root      20   0       0      0      0 I   0.0   0.0   0:00.99 kworker+
   5197 demetri+  20   0 2897920 317092  98612 S   0.0   9.2   0:18.52 Isolate+
   5227 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   5460 root      20   0       0      0      0 I   0.0   0.0   0:01.37 kworker+
   5576 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   5647 root      20   0       0      0      0 I   0.0   0.0   0:01.78 kworker+
   5713 demetri+  20   0   10648   6976   5908 S   0.0   0.2   0:00.01 ssh-age+
   5715 root      20   0       0      0      0 I   0.0   0.0   0:01.41 kworker+
   5728 root      20   0       0      0      0 I   0.0   0.0   0:00.36 kworker+
   5730 root      20   0   31992  11528   9372 S   0.0   0.3   0:00.05 cupsd
   5731 cups-br+  20   0  207948  18000  14484 S   0.0   0.5   0:00.08 cups-br+
   5735 root      20   0       0      0      0 I   0.0   0.0   0:00.46 kworker+
   5744 root      20   0       0      0      0 I   0.0   0.0   0:00.87 kworker+
   5783 root       0 -20       0      0      0 I   0.0   0.0   0:00.40 kworker+
   5950 demetri+  20   0 2569392  67664  56488 S   0.0   2.0   0:00.25 Web Con+
   5987 demetri+  20   0 2569392  67644  56488 S   0.0   2.0   0:00.27 Web Con+
   6052 root       0 -20       0      0      0 I   0.0   0.0   0:00.30 kworker+
   6131 root      20   0       0      0      0 I   0.0   0.0   0:00.92 kworker+
   6141 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6154 root      20   0  344592  20860  17820 S   0.0   0.6   0:00.04 package+
   6168 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker+
   6268 root      20   0       0      0      0 I   0.0   0.0   0:01.03 kworker+
   6640 demetri+  20   0 2569408  67460  56360 S   0.0   2.0   0:00.13 Web Con+
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
demetri+    1913  8.5  7.9 4058560 274144 ?      Ssl  00:37   5:21 /usr/bin/gnome-shell
demetri+    2726  8.0 17.6 12406668 607052 ?     Sl   00:38   5:02 /snap/firefox/8030/usr/lib/firefox/firefox
